OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 4007,1688,AKN2620,AZJ6068
,Block 4008,1985,AKN2620,AZJ6068
,Block 4009,1301,AKL4099,AZJ6068
,Block 4010,1251,AKL4099,AZJ6067
,Block 4011,1389,AKN2641,AZJ6067
,Block 4012,1438,AKL4099,AZJ6068
,Block 4013,1069,AKN2620,AZJ6068
,Block 4014,1881,AKN2620,AZJ6068
,Block 4015,1536,AKL4099,AZJ6067
,Block 4016,1336,AKN2620,AZJ6067
,Block 4017,1473,AKN2620,AYV0693
,Block 4018,1257,AKL4099,AYV0693
,Block 4019,973,AKL4099,AYV0693
,Block 4020,1047,AKN2620,AYV0692
,Block 4021,617,AKN2620,AYU6648
,Block 4022,438,AKN2620,AYV0690
,Block 4023,603,AKN2630,AYV0692
,Block 4024,653,AKN2620,AYV0692
,Block 4025,694,AKN2643,AYV0693
,Block 4026,376,AKN2846,AZJ6067
,Block 4027,338,AKN2620,AZJ6067
,Block 4028,207,AKN2630,AYU6648
,Block 4029,181,ALU5915,AYU6643
,Block 4030,347,AKN2663,AZJ6068
,Block 4031,229,AKN2643,AYU6645
,Block 4032,266,AKN2646,AYV0691
,Block 4033,213,AKN2627,AYV0691
,Block 4034,122,AKN2728,AYV0689
,Block 4035,184,AKN2753,AYV0691
,Block 4036,18,ATS2910,AXG5674
,Block 4037,3,ATS2900,ATZ5062
,Block 4038,5,AWB6193,AXG5750
,Block 4039,32,ATS2908,AXG5763
,Block 4040,4,ATS2905,AXG5634
,Block 4041,19,ATS2907,AYU6642
,Block 4043,34,ATS2936,AXG5747
,Block 4045,3,ATZ5126,AXG5063
,Block 4046,310,AKN2760,AYV0692
,Block 4047,17,ATZ5015,AXG5763
,Block 4050,43,AKN2760,AYU6648
,Block 4051,28,ANK7354,AYV0689
,Block 4052,45,ATS2903,AYU6647
,Block 4053,105,AKN2898,AYV0624
,Block 4056,2,AWY0062,AXG4864
,Block 4057,23,ATS2921,AXG5650
,Block 4058,1,ATZ5025,ATZ5025
,Block 4061,2,AXG4861,AXG5663
,Block 4062,95,ANK7354,AYU6644
,Block 4063,8,ATS2908,AXG5760
,Block 4064,84,AKN2764,AYU6648
,Block 4085,54,AKN2835,AYU6642
,Block 4086,38,AKN2744,AYV0692
,Block 4087,73,AKN2732,AYV0692
,Block 4088,75,AKN2692,AYV0692
,Block 4089,116,AKN2685,AYU6642
,Block 4090,16,AKN2778,AXG5673
,Block 4091,23,AKN2699,AXG5762
,Block 4092,8,AKN2753,AXG5775
,Block 4093,17,ATZ5010,AXG5759
,Block 4095,5,ATZ5109,AXG4896
,Block 5000,1253,AKN2627,AYV0692
,Block 5001,1280,AKL4099,AZJ6067
,Block 5002,721,AKN2663,AYV0692
,Block 5003,904,AKL4099,AYV0688
,Block 5004,1030,AKL4099,AYV0690
,Block 5005,1013,AKN2627,AZJ6067
,Block 5006,937,AKL4099,AZJ6068
,Block 5007,652,AKN2685,AZJ6068
,Block 5008,684,AKN2620,AYV0693
,Block 5009,1082,AKN2627,AZJ6068
,Block 5010,526,AKN2620,AYV0692
,Block 5011,377,AKN2627,AYV0691
,Block 5012,406,AKN2620,AZJ6068
,Block 5013,427,AKL4099,AYU6648
,Block 5014,631,AKL4099,AYV0693
,Block 5015,454,AKN2643,AZJ6068
,Block 5016,452,AKN2630,AYV0690
,Block 5017,200,AKN2620,AYV0688
,Block 5018,306,AKN2728,AYU6646
,Block 5019,187,AKN2728,AYV0693
,Block 5020,217,AKN2641,AZJ6067
,Block 5021,175,AKN2630,AZJ6067
,Block 5022,163,AKN2807,AZJ6068
,Block 5023,117,AKN2663,AYV0690
,Block 5024,117,ALU5951,AYU6644
,Block 5025,232,AKN2630,AZJ6067
,Block 5026,80,AKN2898,AYV0690
,Block 5027,45,AKN2744,AXG5752
,Block 5028,16,ATS2935,AYU6645
,Block 5029,39,ALU5911,AXG5777
,Block 5030,37,ATS2903,AYU6640
,Block 5031,18,ATS2918,AYU6642
,Block 5032,5,ATZ5019,AXG5042
,Block 5033,6,ATZ5074,AXG5778
,Block 5035,18,ALU5926,AXG5648
,Block 5036,2,AWY0070,AXG5028
,Block 5037,19,ATZ5037,AXG5676
,Block 5038,3,ATS2907,AXG5776
,Block 5039,22,ATS2923,AXG5757
,Block 5040,17,AKN2630,AXG5747
,Block 5041,46,ALU5971,AXG5773
,Block 5042,18,AKN2760,AXG5668
,Block 5043,22,ATS2934,AXG5672
,Block 5044,6,ATS2921,AXG5743
,Block 5046,8,ATZ5099,AXG5653
,Block 5047,10,ATZ5033,AXG5667
,Block 5048,2,ATZ5046,AXG5765
,Block 5049,8,ATS2900,AXG5780
,Block 5052,4,AWY0345,AXG5058
,Block 6000,180,AKN2630,AYU6646
,Block 6001,111,AKN2629,AXG5767
,Block 6002,158,AKN2789,AXG5782
,Block 6003,64,AKN2778,AXG5783
,Block 6004,124,AKN2646,AYV0692
,Block 6005,61,AKN2643,AXG5777
,Block 6006,78,AKN2627,AZJ6067
,Block 6007,190,AKN2673,AZJ6067
,Block 6008,196,AKN2641,AXS3725
,Block 6009,85,AKN2627,AYV0688
,Block 6010,103,AKN2732,AYU6642
,Block 6011,275,AKN2764,AYU6641
,Block 6012,165,AKN2620,AYV0354
,Block 6013,102,AKN2646,AXG5781
,Block 6014,59,AKN2697,AYV0692
,Block 6015,63,ATS2919,AYU6643
,Block 6016,12,ATZ5134,AXG5483
,Block 6017,14,ATZ5013,AXG5779
,Block 6018,10,ATZ5013,AXG5671
,Block 6020,28,AKN2627,AXG5765
,Block 6021,8,AUK2206,AXG4893
,Block 6022,4,AWY0072,AXG5026
,Block 6023,23,AKL4099,AXG5497
,Block 6024,4,ATZ5106,AXG5759
,Block 6025,4,ATZ5010,ATZ5665
,Block 6026,12,ATS2940,AXG5067
