,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,-2.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182,0.0,4.0,-1.0,1.0,1.0,2.0,-3.0,-7.0,-5.0,-4.0,-4.0,-6.0,0.0,-1.0,1.0,0.0,3.0,4.0,-3.0,0.0,0.0,16.0,1.0,-1.0
189,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,-2.0,-2.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0
192,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,4.0,0.0,1.0,-2.0,0.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,0.0,-1.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-5.0,7.0,4.0,-1.0,3.0,2.0,2.0,17.0,-3.0,-10.0,-5.0,-2.0,-2.0,-5.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,3.0,12.0,-4.0,-3.0,2.0,-1.0,-3.0,1.0,2.0,-3.0,4.0,-3.0,-3.0,4.0,-1.0,-2.0,-4.0,1.0,-1.0
202,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-5.0,2.0,-3.0,0.0,0.0,2.0,2.0,-1.0,4.0,3.0,-1.0,-3.0,-1.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,1.0,5.0,4.0,-1.0,0.0,2.0,0.0,0.0,6.0,-4.0,-7.0,0.0,-1.0
208,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-3.0,0.0,-1.0,-1.0,0.0,3.0,10.0,-1.0,1.0,-4.0,-4.0,2.0,1.0,1.0,0.0,-1.0
210,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
216,5.0,2.0,2.0,0.0,0.0,-2.0,-1.0,-3.0,-3.0,-1.0,-3.0,-2.0,-2.0,0.0,-1.0,0.0,1.0,1.0,-2.0,-2.0,2.0,0.0,5.0,4.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
225,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-3.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,8.0,0.0,-3.0,1.0,1.0,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,3.0,1.0,1.0,0.0,-1.0,1.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-6.0,-2.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,-1.0,0.0,-1.0,0.0
234,3.0,0.0,0.0,-1.0,0.0,-1.0,-4.0,-5.0,-4.0,-6.0,-9.0,-5.0,1.0,-10.0,2.0,-2.0,7.0,11.0,10.0,5.0,1.0,-1.0,3.0,3.0
241,2.0,0.0,0.0,0.0,0.0,-5.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,8.0,0.0,-1.0,1.0,1.0,-2.0,0.0,-2.0,-1.0
242,0.0,0.0,-2.0,0.0,-1.0,-4.0,-3.0,-8.0,-1.0,0.0,1.0,0.0,0.0,10.0,9.0,3.0,10.0,-4.0,-3.0,2.0,-7.0,-1.0,1.0,-1.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
249,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,3.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,5.0,0.0,-2.0,-2.0,-3.0,1.0,1.0
252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,-2.0,1.0,0.0
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-4.0,-2.0,-1.0,4.0,-1.0,1.0,-1.0,-4.0,3.0,1.0,3.0,1.0,2.0
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0
269,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,-1.0,-1.0,-5.0,0.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,-5.0,-1.0,-1.0,0.0,0.0
272,0.0,0.0,0.0,-1.0,9.0,-2.0,0.0,2.0,4.0,9.0,4.0,0.0,-1.0,-3.0,-3.0,1.0,0.0,-7.0,-1.0,-3.0,-3.0,0.0,-6.0,0.0
